"product_id","product_name","category","price"
1,Wireless Mouse,Electronics,4500
2,Bluetooth Speaker,Electronics,12000
3,Smart Lamp,Home,8000
4,Cookware Set,Home,15000
5,Formal Shirt,Fashion,7000
6,Sneakers,Fashion,12000
7,Green Tea,Groceries,1500
8,Phone Case,Electronics,2500
9,Backpack,Fashion,9000
10,"LED TV 32\""",Electronics,55000
11,Hair Dryer,Beauty,6000
12,Coffee Maker,Home,20000
13,Sunglasses,Fashion,8000
14,Rice Cooker,Home,12000
15,T-shirt,Fashion,4000
16,Water Bottle,Home,2000
17,Gaming Keyboard,Electronics,15000
18,Running Shorts,Fashion,5000
19,External HDD,Electronics,20000
20,Powerbank,Electronics,8000
